2025-06-24 15:31:41.688 :: INFO     :: DS8R::1::Enable=1
2025-06-24 15:32:00.506 :: INFO     :: Searching for DAQ device(s)...
2025-06-24 15:32:02.011 :: INFO     :: Error - Failed connecting to DAQ device
2025-06-24 15:32:37.591 :: INFO     :: Starting key: 4
2025-06-24 15:32:37.618 :: INFO     :: DS8R::1::Enable=1
2025-06-24 15:32:37.644 :: INFO     :: DS8R::1::Enable=1
2025-06-24 15:32:37.668 :: INFO     :: DS8R::1::Enable=1
2025-06-24 15:34:15.168 :: INFO     :: Searching for DAQ device(s)...
2025-06-24 15:34:17.272 :: INFO     :: Error - Failed connecting to DAQ device
2025-06-24 15:35:28.172 :: INFO     :: Starting key: 4
2025-06-24 15:35:28.207 :: INFO     :: DS8R::1::Enable=1
2025-06-24 15:35:28.232 :: INFO     :: DS8R::1::Enable=1
2025-06-24 15:35:28.259 :: INFO     :: DS8R::1::Enable=1
2025-06-24 15:35:40.696 :: INFO     :: Searching for DAQ device(s)...
2025-06-24 15:35:42.112 :: INFO     :: Error - Failed connecting to DAQ device
2025-06-24 15:37:20.588 :: INFO     :: Starting key: 4
2025-06-24 15:37:20.616 :: INFO     :: DS8R::1::Enable=1
2025-06-24 15:37:20.641 :: INFO     :: DS8R::1::Enable=1
2025-06-24 15:37:20.666 :: INFO     :: DS8R::1::Enable=1
2025-06-24 15:37:49.740 :: INFO     :: Searching for DAQ device(s)...
2025-06-24 15:37:51.259 :: INFO     :: Error - Failed connecting to DAQ device
2025-06-24 15:38:54.584 :: INFO     :: Starting key: 4
2025-06-24 15:38:54.611 :: INFO     :: DS8R::1::Enable=1
2025-06-24 15:38:54.636 :: INFO     :: DS8R::1::Enable=1
2025-06-24 15:38:54.661 :: INFO     :: DS8R::1::Enable=1
2025-06-24 15:39:06.731 :: INFO     :: Searching for DAQ device(s)...
2025-06-24 15:39:08.099 :: INFO     :: Error - Failed connecting to DAQ device
2025-06-24 15:45:35.976 :: INFO     :: Starting key: 4
2025-06-24 15:45:36.001 :: INFO     :: DS8R::1::Enable=1
2025-06-24 15:45:36.027 :: INFO     :: DS8R::1::Enable=1
